store_name,domain,url,category,subcategory,whatsapp,whatsapp_link,email,cnpj,instagram,platform,has_whatsapp,status,scraped_at
aguadecoco.com.br,aguadecoco.com.br,https://www.aguadecoco.com.br/,Moda,Moda praia,,,,,,Outro,NÃO,online,2026-04-07 13:44:49
amissima.com.br,amissima.com.br,https://amissima.com.br,Moda,Moda feminina – Blumenau/SC,,,,,,,NÃO,offline,2026-04-07 13:44:04
amorope.com,amorope.com,https://amorope.com/,Moda,Moda feminina – Auriflama/SP,,,,,,Outro,NÃO,online,2026-04-07 13:44:01
anacapri.com.br,anacapri.com.br,https://www.anacapri.com.br/,Moda,Calçados femininos,,,,,,Outro,NÃO,online,2026-04-07 13:44:31
ANIMALE,animale.com.br,https://www.animale.com.br/,Moda,Moda feminina premium,552125036885,https://wa.me/552125036885,,09.611.669/0005-18,@animalebrasil,Outro,SIM,online,2026-04-07 13:44:02
aramis.com.br,aramis.com.br,https://www.aramis.com.br/,Moda,Moda masculina,,,,,,Outro,NÃO,online,2026-04-07 13:44:14
Moda Colmeia,atacado.modacolmeia.com,https://atacado.modacolmeia.com/,Moda,Moda feminina atacado – Norte/Nordeste,5585988789343,https://wa.me/5585988789343,vtex.render-server@8.179.1,63.294.409/0001-88,@modacolmeia,Outro,SIM,online,2026-04-07 13:44:00
blueman.com.br,blueman.com.br,https://www.blueman.com.br/,Moda,Sunga / Moda praia masculina,,,,,,Outro,NÃO,online,2026-04-07 13:44:40
bo-bo.com.br,bo-bo.com.br,https://bo-bo.com.br,Moda,Moda feminina contemporânea,,,,,,,NÃO,offline,2026-04-07 13:44:47
Loja Online de Roupas Femininas,brasilemgotas.com.br,https://www.brasilemgotas.com.br/,Moda,Moda feminina – BH/MG,5531996758441,https://wa.me/5531996758441,contato@brasilemgotas.com.br,22.513.543/0001-45,@brasilemgotas,Outro,SIM,online,2026-04-07 13:44:01
Cantão: Site Oficial,cantao.com.br,https://www.cantao.com.br,Moda,Moda praia,552136131713,https://wa.me/552136131713,vtex.render-server@8.179.1,12.093.445/0002-23,,Outro,SIM,online,2026-04-07 13:44:05
catarinamina.com.br,catarinamina.com.br,https://catarinamina.com.br,Moda,Moda artesanal feminina,,,,,,,NÃO,offline,2026-04-07 13:44:22
Colcci,colcci.com.br,https://www.colcci.com.br/,Moda,Moda,5511986293294,https://wa.me/5511986293294,atendimento@colcci.com.br,75.364.570/0007-55,@colccioficial,Outro,SIM,online,2026-04-07 13:44:16
Coven,coven.com.br,https://www.coven.com.br/,Moda,Streetwear feminino,,,lojavirtual@coven.com.br,09.433.725/0001-48,@coven_oficial,Outro,NÃO,online,2026-04-07 13:44:04
Dudalina,dudalina.com.br,https://www.dudalina.com.br/,Moda,Camisas premium,5511989045862,https://wa.me/5511989045862,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:25
Dumond,dumond.com.br,https://www.dumond.com.br/,Moda,Calçados e bolsas,551436239995,https://wa.me/551436239995,sac@dumond.com.br,12.882.179/0001-37,@dumondoficial,Outro,SIM,online,2026-04-07 13:44:34
DZARM,dzarm.com.br,https://www.dzarm.com.br/,Moda,Moda feminina,554789232203,https://wa.me/554789232203,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:21
ellus.com.br,ellus.com.br,https://ellus.com.br,Moda,Moda premium,,,,,,,NÃO,offline,2026-04-07 13:44:14
farm-rio.com,farm-rio.com,https://farm-rio.com,Moda,Moda estampada brasileira,,,,,,,NÃO,offline,2026-04-07 13:44:02
Forum,forum.com.br,https://www.forum.com.br/,Moda,Moda premium,5511994304972,https://wa.me/5511994304972,atendimento@forum.com.br,75.364.570/0007-55,@forumoficial,Outro,SIM,online,2026-04-07 13:44:18
foxton.com.br,foxton.com.br,https://www.foxtonbrasil.com.br/,Moda,Moda masculina,,,,,,Outro,NÃO,online,2026-04-07 13:44:11
gangstyle.com.br,gangstyle.com.br,https://gangstyle.com.br,Moda,Moda jovem,,,,,,,NÃO,offline,2026-04-07 13:44:36
handred.com.br,handred.com.br,https://handred.com.br/,Moda,Streetwear,,,,,,Outro,NÃO,online,2026-04-07 13:44:02
havaianas.com.br,havaianas.com.br,https://havaianas.com.br/,Moda,Sandálias / Moda,,,,,,Outro,NÃO,online,2026-04-07 13:44:26
hering.com.br,hering.com.br,https://www.hering.com.br/,Moda,Moda básica família,,,,78.876.950/0001-71,@hering_oficial,Outro,NÃO,online,2026-04-07 13:44:26
Lenny Niemeyer,lennyniemeyer.com.br,https://www.lennyniemeyer.com.br/,Moda,Moda praia premium,552135580036,https://wa.me/552135580036,vtex.render-server@8.179.1,07.543.288/0001-90,@lennyniemeyer,Outro,SIM,online,2026-04-07 13:44:49
lolitta.com.br,lolitta.com.br,https://lolitta.com.br,Moda,Moda feminina,,,,,,,NÃO,offline,2026-04-07 13:44:10
"Sapatos, Bolsas, Acessórios em Couro e mais I Loucos & Santos",loucosesantos.com.br,https://www.loucosesantos.com.br/,Moda,Camisetas / Streetwear,,,vtex.render-server@8.179.1,08.960.572/0014-49,,Outro,NÃO,online,2026-04-07 13:44:38
"Malwee: Moda feminina, masculina, plus size e Moda infantil",malwee.com.br,https://www.malwee.com.br/,Moda,Moda família,5592000000000,https://wa.me/5592000000000,vtex.render-server@8.179.1,,@malweeoficial,Outro,SIM,online,2026-04-07 13:44:38
Mash,mash.com.br,https://www.mash.com.br/,Moda,Moda masculina,5511951868838,https://wa.me/5511951868838,vtex.render-server@8.179.1,17.678.232/0001-04,@cuecasmash,Outro,SIM,online,2026-04-07 13:44:35
Morena Rosa: a marca de roupa feminina da brasileira,morenarosa.com.br,https://www.morenarosa.com.br/,Moda,Moda feminina – fundada 1993,554140421559,https://wa.me/554140421559,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:01
Morena Rose,morenarose.com.br,https://www.morenarose.com.br/,Moda,Moda feminina,5564992389645,https://wa.me/5564992389645,leidna.morenarose@gmail.com,,@morenarosebiquinis,Outro,SIM,online,2026-04-07 13:44:55
opiuswear.com.br,opiuswear.com.br,https://opiuswear.com.br,Moda,Moda praia masculina,,,,,,,NÃO,offline,2026-04-07 13:44:24
osklen.com,osklen.com,https://www.osklen.com/,Moda,Moda eco-premium,,,,,,Outro,NÃO,online,2026-04-07 13:44:47
"- Moda Feminina, roupas, acessórios, vestidos, blusas, calças.",posthaus.com.br,https://www.posthaus.com.br/,Moda,Moda multi – maior e-commerce moda sul,554733316685,https://wa.me/554733316685,faleconosco@posthaus.com.br,80.462.138/0001-41,@posthaus,Outro,SIM,online,2026-04-07 13:44:51
Puket,puket.com.br,https://www.puket.com.br/,Moda,Moda infantil / meias,554891922171,https://wa.me/554891922171,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:34
Redley,redley.com.br,https://www.redley.com.br,Moda,Surf / Moda masculina,,,render-extension-loader@0.1.6,12.093.445/0002-23,@redley85,Outro,NÃO,online,2026-04-07 13:44:08
