store_name,domain,url,category,subcategory,whatsapp,whatsapp_link,email,cnpj,instagram,platform,has_whatsapp,status,scraped_at
ANIMALE,animale.com.br,https://www.animale.com.br/,Moda,Moda feminina premium,552125036885,https://wa.me/552125036885,,09.611.669/0005-18,@animalebrasil,Outro,SIM,online,2026-04-07 13:44:02
Moda Colmeia,atacado.modacolmeia.com,https://atacado.modacolmeia.com/,Moda,Moda feminina atacado – Norte/Nordeste,5585988789343,https://wa.me/5585988789343,vtex.render-server@8.179.1,63.294.409/0001-88,@modacolmeia,Outro,SIM,online,2026-04-07 13:44:00
Loja Online de Roupas Femininas,brasilemgotas.com.br,https://www.brasilemgotas.com.br/,Moda,Moda feminina – BH/MG,5531996758441,https://wa.me/5531996758441,contato@brasilemgotas.com.br,22.513.543/0001-45,@brasilemgotas,Outro,SIM,online,2026-04-07 13:44:01
Cantão: Site Oficial,cantao.com.br,https://www.cantao.com.br,Moda,Moda praia,552136131713,https://wa.me/552136131713,vtex.render-server@8.179.1,12.093.445/0002-23,,Outro,SIM,online,2026-04-07 13:44:05
Colcci,colcci.com.br,https://www.colcci.com.br/,Moda,Moda,5511986293294,https://wa.me/5511986293294,atendimento@colcci.com.br,75.364.570/0007-55,@colccioficial,Outro,SIM,online,2026-04-07 13:44:16
Dudalina,dudalina.com.br,https://www.dudalina.com.br/,Moda,Camisas premium,5511989045862,https://wa.me/5511989045862,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:25
Dumond,dumond.com.br,https://www.dumond.com.br/,Moda,Calçados e bolsas,551436239995,https://wa.me/551436239995,sac@dumond.com.br,12.882.179/0001-37,@dumondoficial,Outro,SIM,online,2026-04-07 13:44:34
DZARM,dzarm.com.br,https://www.dzarm.com.br/,Moda,Moda feminina,554789232203,https://wa.me/554789232203,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:21
Forum,forum.com.br,https://www.forum.com.br/,Moda,Moda premium,5511994304972,https://wa.me/5511994304972,atendimento@forum.com.br,75.364.570/0007-55,@forumoficial,Outro,SIM,online,2026-04-07 13:44:18
Lenny Niemeyer,lennyniemeyer.com.br,https://www.lennyniemeyer.com.br/,Moda,Moda praia premium,552135580036,https://wa.me/552135580036,vtex.render-server@8.179.1,07.543.288/0001-90,@lennyniemeyer,Outro,SIM,online,2026-04-07 13:44:49
"Malwee: Moda feminina, masculina, plus size e Moda infantil",malwee.com.br,https://www.malwee.com.br/,Moda,Moda família,5592000000000,https://wa.me/5592000000000,vtex.render-server@8.179.1,,@malweeoficial,Outro,SIM,online,2026-04-07 13:44:38
Mash,mash.com.br,https://www.mash.com.br/,Moda,Moda masculina,5511951868838,https://wa.me/5511951868838,vtex.render-server@8.179.1,17.678.232/0001-04,@cuecasmash,Outro,SIM,online,2026-04-07 13:44:35
Morena Rosa: a marca de roupa feminina da brasileira,morenarosa.com.br,https://www.morenarosa.com.br/,Moda,Moda feminina – fundada 1993,554140421559,https://wa.me/554140421559,vtex.render-server@8.179.1,,,Outro,SIM,online,2026-04-07 13:44:01
Morena Rose,morenarose.com.br,https://www.morenarose.com.br/,Moda,Moda feminina,5564992389645,https://wa.me/5564992389645,leidna.morenarose@gmail.com,,@morenarosebiquinis,Outro,SIM,online,2026-04-07 13:44:55
"- Moda Feminina, roupas, acessórios, vestidos, blusas, calças.",posthaus.com.br,https://www.posthaus.com.br/,Moda,Moda multi – maior e-commerce moda sul,554733316685,https://wa.me/554733316685,faleconosco@posthaus.com.br,80.462.138/0001-41,@posthaus,Outro,SIM,online,2026-04-07 13:44:51
